Episodio,Recompensa_simbiosis,Tripwires_simbiosis,PGF_Bruto_Avg,PGF_Costo_Avg
1,-37.464009090454184,0,-0.13928018180908375,0.61
2,0.0,0,0.0,0.0
3,-246.11728316921435,0,-0.9523456633842872,3.97
4,0.0,0,0.0,0.0
5,0.0,0,0.0,0.0
6,-53.42801818090837,0,-0.2785603636181675,0.79
7,0.0,0,0.0,0.0
8,0.0,0,0.0,0.0
9,-15.0,0,0.0,0.3
10,0.0,0,0.0,0.0
11,0.0,0,0.0,0.0
12,0.0,0,0.0,0.0
13,-775.8502839936596,1,-0.31650567987319056,9.97
14,-94.75569414547674,3,-2.1636805440567977,1.4807692307692308
15,-267.4391589048037,0,-2.071739967788345,5.794117647058823
16,0.0,0,0.0,0.0
17,-17.464009090454187,0,-0.13928018180908375,0.21
18,-92.48200454522708,0,-0.06964009090454187,1.78
19,-16.464009090454187,0,-0.13928018180908375,0.19
20,-67.65,0,0.0,0.9
