Episodio,Recompensa_control,Tripwires_control,PGF_Bruto_Avg,PGF_Costo_Avg
1,-10.0,0,-0.30454032766714556,0.275
2,-5.0,0,-0.15227016383357278,0.105
3,0.0,0,0.0,0.0
4,-10.0,0,-0.30454032766714556,0.38
5,0.0,0,0.0,0.0
6,-5.0,0,-0.15227016383357278,0.025
7,0.0,0,0.0,0.0
8,-5.0,0,-0.15227016383357278,0.125
9,0.0,0,0.0,0.0
10,0.0,0,0.0,0.0
11,0.0,0,0.0,0.0
12,-5.0,0,-0.15227016383357278,0.135
13,0.0,0,0.0,0.0
14,-5.0,0,-0.15227016383357278,0.1
15,0.0,0,0.0,0.0
16,-5.0,0,-0.15227016383357278,0.185
17,-5.0,0,-0.15227016383357278,0.1
18,0.0,0,0.0,0.0
19,0.0,0,0.0,0.0
20,0.0,0,0.0,0.0
21,0.0,0,0.0,0.0
22,0.0,0,0.0,0.0
23,-5.0,0,-0.15227016383357278,0.215
24,0.0,0,0.0,0.0
25,0.0,0,0.0,0.0
26,-10.0,0,-0.30454032766714556,0.37
27,-10.0,0,-0.30454032766714556,0.335
28,0.0,0,0.0,0.0
29,0.0,0,0.0,0.0
30,0.0,0,0.0,0.0
31,0.0,0,0.0,0.0
32,0.0,0,0.0,0.0
33,-5.0,0,-0.15227016383357278,0.16
34,0.0,0,0.0,0.0
35,0.0,0,0.0,0.0
36,-5.0,0,-0.15227016383357278,0.17
37,0.0,0,0.0,0.0
38,0.0,0,0.0,0.0
39,0.0,0,0.0,0.0
40,0.0,0,0.0,0.0
41,-10.0,0,-0.30454032766714556,0.085
42,-15.0,0,-0.45681049150071834,0.275
43,-5.0,0,-0.15227016383357278,0.165
44,-5.0,0,-0.15227016383357278,0.165
45,0.0,0,0.0,0.0
46,-5.0,0,-0.15227016383357278,0.17
47,-5.0,0,-0.15227016383357278,0.195
48,0.0,0,0.0,0.0
49,-5.0,0,-0.15227016383357278,0.07
50,-15.0,0,-0.45681049150071834,0.095
51,-5.0,0,-0.15227016383357278,0.195
52,-5.0,0,-0.15227016383357278,0.165
53,0.0,0,0.0,0.0
54,-5.0,0,-0.15227016383357278,0.215
55,0.0,0,0.0,0.0
56,0.0,0,0.0,0.0
57,0.0,0,0.0,0.0
58,-5.0,0,-0.15227016383357278,0.18
59,0.0,0,0.0,0.0
60,0.0,0,0.0,0.0
61,0.0,0,0.0,0.0
