Episodio,Recompensa_Dqn_control,Tripwires_Dqn_control,PGF_Bruto_Avg,PGF_Costo_Avg
1,-30.0,1,-0.31650567987319056,1.02
2,-15.0,0,-0.20892027271362562,0.7
3,-30.0,1,-0.31650567987319056,0.48
4,-10.0,0,-0.13928018180908375,0.74
5,0.0,0,0.0,0.0
6,-35.0,1,-0.38614577077773243,0.54
7,-30.0,1,-0.31650567987319056,0.78
8,-5.0,0,-0.06964009090454187,0.15
9,165.0,0,0.0,2.07
10,-5.0,0,-0.06964009090454187,0.16
11,195.0,0,-0.15825283993659528,4.35
12,-30.0,1,-0.31650567987319056,0.78
13,-15.0,0,-0.15825283993659528,0.18
14,255.0,0,0.0,4.59
15,-10.0,0,-0.13928018180908375,0.58
16,30.0,0,0.0,0.09
17,0.0,0,0.0,0.0
18,-5.0,0,-0.06964009090454187,0.03
19,0.0,0,0.0,0.0
20,135.0,0,0.0,1.53
21,-15.0,0,-0.15825283993659528,0.09
22,135.0,0,-0.15825283993659528,2.28
23,-15.0,0,-0.20892027271362562,0.85
24,-5.0,0,-0.06964009090454187,0.14
25,-10.0,0,-0.13928018180908375,0.6
26,0.0,0,0.0,0.0
27,-5.0,0,-0.06964009090454187,0.28
28,220.0,0,-0.06964009090454187,4.1
29,210.0,0,0.0,3.15
30,0.0,0,0.0,0.0
31,0.0,0,0.0,0.0
32,-5.0,0,-0.06964009090454187,0.35
33,120.0,0,0.0,1.56
34,0.0,0,0.0,0.0
35,0.0,0,0.0,0.0
36,0.0,0,0.0,0.0
37,-15.0,0,-0.20892027271362562,1.13
38,0.0,0,0.0,0.0
39,0.0,0,0.0,0.0
40,-10.0,0,-0.13928018180908375,0.64
41,45.0,0,0.0,0.18
42,90.0,0,0.0,0.99
43,0.0,0,0.0,0.0
44,0.0,0,0.0,0.0
45,-5.0,0,-0.06964009090454187,0.13
46,-10.0,0,-0.13928018180908375,0.41
47,0.0,0,0.0,0.0
48,0.0,0,0.0,0.0
49,60.0,0,-0.15825283993659528,0.6
50,180.0,0,0.0,2.34
51,0.0,0,0.0,0.0
52,-30.0,1,-0.31650567987319056,0.66
53,-10.0,0,-0.13928018180908375,0.2
54,180.0,0,0.0,2.43
55,60.0,0,0.0,0.3
56,-30.0,0,-0.31650567987319056,0.51
57,0.0,0,0.0,0.0
58,0.0,0,0.0,0.0
59,-5.0,0,-0.06964009090454187,0.3
60,0.0,0,0.0,0.0
61,75.0,0,0.0,0.45
62,-15.0,0,-0.15825283993659528,0.3
63,-10.0,0,-0.13928018180908375,0.53
64,0.0,0,0.0,0.0
65,0.0,0,0.0,0.0
66,60.0,0,0.0,1.02
67,-5.0,0,-0.06964009090454187,0.26
68,-5.0,0,-0.06964009090454187,0.16
69,225.0,0,0.0,3.6
70,0.0,0,0.0,0.0
71,-60.0,2,-0.6330113597463811,1.56
72,180.0,0,0.0,2.82
73,-5.0,0,-0.06964009090454187,0.18
74,0.0,0,0.0,0.0
75,0.0,0,0.0,0.0
76,-5.0,0,-0.06964009090454187,0.15
77,-10.0,0,-0.13928018180908375,0.35
78,0.0,0,0.0,0.0
79,0.0,0,0.0,0.0
80,-5.0,0,-0.06964009090454187,0.13
81,-15.0,0,-0.20892027271362562,0.38
82,0.0,0,0.0,0.0
83,0.0,0,0.0,0.0
84,0.0,0,0.0,0.0
85,0.0,0,0.0,0.0
86,0.0,0,0.0,0.0
87,15.0,0,-0.15825283993659528,0.69
88,-5.0,0,-0.06964009090454187,0.36
89,165.0,0,0.0,1.98
90,-5.0,0,-0.06964009090454187,0.02
91,0.0,0,0.0,0.0
