Episodio,Recompensa_control,Tripwires_control,PGF_Bruto_Avg,PGF_Costo_Avg
1,-10.0,0,-0.30454032766714556,0.275
2,0.0,0,0.0,0.0
3,0.0,0,0.0,0.0
4,-10.0,0,-0.30454032766714556,0.43
5,-5.0,0,-0.15227016383357278,0.19
6,-15.0,0,-0.45681049150071834,0.275
7,0.0,0,0.0,0.0
8,0.0,0,0.0,0.0
9,0.0,0,0.0,0.0
10,0.0,0,0.0,0.0
11,0.0,0,0.0,0.0
12,-10.0,0,-0.30454032766714556,0.395
13,0.0,0,0.0,0.0
14,-5.0,0,-0.15227016383357278,0.22
15,0.0,0,0.0,0.0
16,0.0,0,0.0,0.0
17,-15.0,0,-0.45681049150071834,0.435
18,-5.0,0,-0.15227016383357278,0.035
19,-5.0,0,-0.15227016383357278,0.23
20,0.0,0,0.0,0.0
21,0.0,0,0.0,0.0
22,-5.0,0,-0.15227016383357278,0.13
23,0.0,0,0.0,0.0
24,-10.0,0,-0.30454032766714556,0.135
25,-135.0,2,-3.283484115725137,0.5520833333333334
26,0.0,0,0.0,0.0
27,0.0,0,0.0,0.0
28,0.0,0,0.0,0.0
29,0.0,0,0.0,0.0
30,-10.0,0,-0.30454032766714556,0.46
31,-5.0,0,-0.15227016383357278,0.015
32,-5.0,0,-0.15227016383357278,0.055
33,0.0,0,0.0,0.0
34,-5.0,0,-0.15227016383357278,0.1
35,0.0,0,0.0,0.0
36,-5.0,0,-0.15227016383357278,0.14
37,0.0,0,0.0,0.0
38,0.0,0,0.0,0.0
39,-5.0,0,-0.15227016383357278,0.07
40,-5.0,0,-0.15227016383357278,0.05
41,-10.0,0,-0.30454032766714556,0.215
42,-5.0,0,-0.15227016383357278,0.14
43,-5.0,0,-0.15227016383357278,0.14
44,0.0,0,0.0,0.0
45,-5.0,0,-0.15227016383357278,0.15
46,-5.0,0,-0.15227016383357278,0.18
47,-10.0,0,-0.30454032766714556,0.085
48,-5.0,0,-0.15227016383357278,0.07
49,-10.0,0,-0.30454032766714556,0.45
50,-10.0,0,-0.30454032766714556,0.395
51,0.0,0,0.0,0.0
52,0.0,0,0.0,0.0
53,0.0,0,0.0,0.0
54,0.0,0,0.0,0.0
55,0.0,0,0.0,0.0
56,-5.0,0,-0.15227016383357278,0.05
57,0.0,0,0.0,0.0
