total_reward_env,total_reward_shaped,steps_to_goal,goal_reached,deaths_starvation,deaths_tripwire,resources_collected,tripwires_triggered,episode,shaping_scale,stage,episodes_in_stage,success_rate_last_25,transition_triggered,epsilon,seed
127.95,132.95,14,1,0,0,2,0,196,0.25,1,97,,0,0.01,456
126.95,129.45,14,1,0,0,1,0,197,0.25,1,98,,0,0.01,456
125.95,125.95,14,1,0,0,0,0,198,0.25,1,99,,0,0.01,456
125.95,125.95,14,1,0,0,0,0,199,0.25,1,100,,1,0.01,456
125.95,125.95,14,1,0,0,0,0,200,0.5,2,1,,0,0.01,456
125.95,125.95,14,1,0,0,0,0,201,0.5,2,2,,0,0.01,456
125.95,125.95,14,1,0,0,0,0,202,0.5,2,3,,0,0.01,456
125.95,125.95,14,1,0,0,0,0,203,0.5,2,4,,0,0.01,456
125.95,125.95,14,1,0,0,0,0,204,0.5,2,5,,0,0.01,456
126.95,131.95,14,1,0,0,1,0,205,0.5,2,6,,0,0.01,456
126.95,131.95,14,1,0,0,1,0,206,0.5,2,7,,0,0.01,456
125.95,125.95,14,1,0,0,0,0,207,0.5,2,8,,0,0.01,456
126.95,131.95,14,1,0,0,1,0,208,0.5,2,9,,0,0.01,456
126.95,131.95,14,1,0,0,1,0,209,0.5,2,10,,0,0.01,456
125.95,125.95,14,1,0,0,0,0,210,0.5,2,11,,0,0.01,456
128.95,143.95,14,1,0,0,3,0,211,0.5,2,12,,0,0.01,456
127.95,137.95,14,1,0,0,2,0,212,0.5,2,13,,0,0.01,456
125.95,125.95,14,1,0,0,0,0,213,0.5,2,14,,0,0.01,456
126.95,131.95,14,1,0,0,1,0,214,0.5,2,15,,0,0.01,456
125.95,125.95,14,1,0,0,0,0,215,0.5,2,16,,0,0.01,456
125.95,125.95,14,1,0,0,0,0,216,0.5,2,17,,0,0.01,456
126.74,131.74,15,1,0,0,1,0,217,0.5,2,18,,0,0.01,456
125.95,125.95,14,1,0,0,0,0,218,0.5,2,19,,0,0.01,456
125.95,125.95,14,1,0,0,0,0,219,0.5,2,20,,0,0.01,456
126.95,131.95,14,1,0,0,1,0,220,0.5,2,21,,0,0.01,456
125.95,125.95,14,1,0,0,0,0,221,0.5,2,22,,0,0.01,456
125.95,125.95,14,1,0,0,0,0,222,0.5,2,23,,0,0.01,456
125.74,125.74,15,1,0,0,0,0,223,0.5,2,24,,0,0.01,456
125.95,125.95,14,1,0,0,0,0,224,0.5,2,25,,0,0.01,456
125.95,125.95,14,1,0,0,0,0,225,0.5,2,26,,0,0.01,456
126.75,131.75,15,1,0,0,1,0,226,0.5,2,27,,0,0.01,456
125.95,125.95,14,1,0,0,0,0,227,0.5,2,28,,0,0.01,456
126.95,131.95,14,1,0,0,1,0,228,0.5,2,29,,0,0.01,456
125.95,125.95,14,1,0,0,0,0,229,0.5,2,30,,0,0.01,456
127.75,137.75,15,1,0,0,2,0,230,0.5,2,31,,0,0.01,456
125.94,125.94,14,1,0,0,0,0,231,0.5,2,32,,0,0.01,456
125.95,125.95,14,1,0,0,0,0,232,0.5,2,33,,0,0.01,456
126.95,131.95,14,1,0,0,1,0,233,0.5,2,34,,0,0.01,456
125.95,125.95,14,1,0,0,0,0,234,0.5,2,35,,0,0.01,456
125.95,125.95,14,1,0,0,0,0,235,0.5,2,36,,0,0.01,456
125.95,125.95,14,1,0,0,0,0,236,0.5,2,37,,0,0.01,456
125.95,125.95,14,1,0,0,0,0,237,0.5,2,38,,0,0.01,456
125.94,125.94,14,1,0,0,0,0,238,0.5,2,39,,0,0.01,456
126.95,131.95,14,1,0,0,1,0,239,0.5,2,40,,0,0.01,456
125.75,125.75,15,1,0,0,0,0,240,0.5,2,41,,0,0.01,456
125.95,125.95,14,1,0,0,0,0,241,0.5,2,42,,0,0.01,456
125.95,125.95,14,1,0,0,0,0,242,0.5,2,43,,0,0.01,456
125.95,125.95,14,1,0,0,0,0,243,0.5,2,44,,0,0.01,456
125.95,125.95,14,1,0,0,0,0,244,0.5,2,45,,0,0.01,456
125.94,125.94,14,1,0,0,0,0,245,0.5,2,46,,0,0.01,456
126.94,131.94,14,1,0,0,1,0,246,0.5,2,47,,0,0.01,456
126.95,131.95,14,1,0,0,1,0,247,0.5,2,48,,0,0.01,456
126.95,131.95,14,1,0,0,1,0,248,0.5,2,49,,0,0.01,456
125.95,125.95,14,1,0,0,0,0,249,0.5,2,50,,0,0.01,456
126.95,131.95,14,1,0,0,1,0,250,0.5,2,51,,0,0.01,456
126.95,131.95,14,1,0,0,1,0,251,0.5,2,52,,0,0.01,456
126.95,131.95,14,1,0,0,1,0,252,0.5,2,53,,0,0.01,456
125.95,125.95,14,1,0,0,0,0,253,0.5,2,54,,0,0.01,456
125.95,125.95,14,1,0,0,0,0,254,0.5,2,55,,0,0.01,456
125.95,125.95,14,1,0,0,0,0,255,0.5,2,56,,0,0.01,456
125.95,125.95,14,1,0,0,0,0,256,0.5,2,57,,0,0.01,456
125.95,125.95,14,1,0,0,0,0,257,0.5,2,58,,0,0.01,456
126.95,131.95,14,1,0,0,1,0,258,0.5,2,59,,0,0.01,456
126.95,131.95,14,1,0,0,1,0,259,0.5,2,60,,0,0.01,456
126.95,131.95,14,1,0,0,1,0,260,0.5,2,61,,0,0.01,456
126.94,131.94,14,1,0,0,1,0,261,0.5,2,62,,0,0.01,456
125.95,125.95,14,1,0,0,0,0,262,0.5,2,63,,0,0.01,456
125.94,125.94,14,1,0,0,0,0,263,0.5,2,64,,0,0.01,456
126.94,131.94,14,1,0,0,1,0,264,0.5,2,65,,0,0.01,456
126.95,131.95,14,1,0,0,1,0,265,0.5,2,66,,0,0.01,456
126.74,131.74,16,1,0,0,1,0,266,0.5,2,67,,0,0.01,456
125.95,125.95,14,1,0,0,0,0,267,0.5,2,68,,0,0.01,456
125.95,125.95,14,1,0,0,0,0,268,0.5,2,69,,0,0.01,456
125.95,125.95,14,1,0,0,0,0,269,0.5,2,70,,0,0.01,456
125.94,125.94,14,1,0,0,0,0,270,0.5,2,71,,0,0.01,456
125.75,125.75,16,1,0,0,0,0,271,0.5,2,72,,0,0.01,456
125.95,125.95,14,1,0,0,0,0,272,0.5,2,73,,0,0.01,456
125.95,125.95,14,1,0,0,0,0,273,0.5,2,74,,0,0.01,456
125.95,125.95,14,1,0,0,0,0,274,0.5,2,75,,0,0.01,456
125.95,125.95,14,1,0,0,0,0,275,0.5,2,76,,0,0.01,456
125.53,125.53,18,1,0,0,0,0,276,0.5,2,77,,0,0.01,456
125.74,125.74,16,1,0,0,0,0,277,0.5,2,78,,0,0.01,456
125.94,125.94,14,1,0,0,0,0,278,0.5,2,79,,0,0.01,456
125.95,125.95,14,1,0,0,0,0,279,0.5,2,80,,0,0.01,456
125.95,125.95,14,1,0,0,0,0,280,0.5,2,81,,0,0.01,456
125.95,125.95,14,1,0,0,0,0,281,0.5,2,82,,0,0.01,456
125.95,125.95,14,1,0,0,0,0,282,0.5,2,83,,0,0.01,456
125.95,125.95,14,1,0,0,0,0,283,0.5,2,84,,0,0.01,456
126.94,131.94,14,1,0,0,1,0,284,0.5,2,85,,0,0.01,456
127.95,137.95,14,1,0,0,2,0,285,0.5,2,86,,0,0.01,456
126.95,131.95,14,1,0,0,1,0,286,0.5,2,87,,0,0.01,456
125.95,125.95,14,1,0,0,0,0,287,0.5,2,88,,0,0.01,456
126.95,131.95,14,1,0,0,1,0,288,0.5,2,89,,0,0.01,456
126.95,131.95,14,1,0,0,1,0,289,0.5,2,90,,0,0.01,456
125.94,125.94,14,1,0,0,0,0,290,0.5,2,91,,0,0.01,456
126.95,131.95,14,1,0,0,1,0,291,0.5,2,92,,0,0.01,456
125.95,125.95,14,1,0,0,0,0,292,0.5,2,93,,0,0.01,456
125.94,125.94,14,1,0,0,0,0,293,0.5,2,94,,0,0.01,456
125.94,125.94,14,1,0,0,0,0,294,0.5,2,95,,0,0.01,456
126.95,131.95,14,1,0,0,1,0,295,0.5,2,96,,0,0.01,456
