Episodio,Recompensa_dqn_control,Tripwires_dqn_control,PGF_Bruto_Avg,PGF_Costo_Avg
1,-15.0,0,-0.20892027271362562,0.81
2,-5.0,0,-0.06964009090454187,0.49
3,0.0,0,0.0,0.0
4,-60.0,0,-0.47475851980978584,0.6
5,0.0,0,0.0,0.0
6,0.0,0,0.0,0.0
7,0.0,0,0.0,0.0
8,0.0,0,0.0,0.0
9,-60.0,1,-0.47475851980978584,0.92
10,0.0,0,0.0,0.0
11,0.0,0,0.0,0.0
12,-5.0,0,-0.06964009090454187,0.4
13,-5.0,0,-0.06964009090454187,0.37
14,0.0,0,0.0,0.0
15,0.0,0,0.0,0.0
16,-60.0,1,-0.47475851980978584,0.68
17,0.0,0,0.0,0.0
18,0.0,0,0.0,0.0
19,0.0,0,0.0,0.0
20,0.0,0,0.0,0.0
21,0.0,0,0.0,0.0
22,-20.0,0,-0.15825283993659528,0.72
23,170.0,0,-0.22789293084113715,6.64
24,0.0,0,0.0,0.0
25,-10.0,0,-0.13928018180908375,0.6
26,0.0,0,0.0,0.0
27,-5.0,0,-0.06964009090454187,0.28
28,-20.0,0,-0.15825283993659528,0.16
29,0.0,0,0.0,0.0
30,0.0,0,0.0,0.0
31,0.0,0,0.0,0.0
32,-5.0,0,-0.06964009090454187,0.35
33,-20.0,0,-0.2785603636181675,0.56
34,45.0,0,0.0,0.18
35,-5.0,0,-0.06964009090454187,0.45
36,0.0,0,0.0,0.0
37,-5.0,0,-0.06964009090454187,0.41
38,0.0,0,0.0,0.0
39,0.0,0,0.0,0.0
40,-25.0,0,-0.31650567987319056,0.32
41,0.0,0,0.0,0.0
42,-5.0,0,-0.06964009090454187,0.1
43,-20.0,0,-0.15825283993659528,1.0
44,-5.0,0,-0.06964009090454187,0.24
45,0.0,0,0.0,0.0
46,-5.0,0,-0.06964009090454187,0.31
47,-40.0,1,-0.31650567987319056,3.6
48,-5.0,0,-0.06964009090454187,0.29
49,-5.0,0,-0.06964009090454187,0.17
50,-10.0,0,-0.13928018180908375,0.37
51,0.0,0,0.0,0.0
52,-20.0,0,-0.2785603636181675,0.86
53,0.0,0,0.0,0.0
54,-10.0,0,-0.13928018180908375,0.66
55,0.0,0,0.0,0.0
56,0.0,0,0.0,0.0
57,0.0,0,0.0,0.0
58,0.0,0,0.0,0.0
59,-10.0,0,-0.13928018180908375,0.86
60,0.0,0,0.0,0.0
61,-5.0,0,-0.06964009090454187,0.26
62,-5.0,0,-0.06964009090454187,0.13
63,-5.0,0,-0.06964009090454187,0.44
64,135.0,0,0.0,2.01
65,0.0,0,0.0,0.0
66,0.0,0,0.0,0.0
67,0.0,0,0.0,0.0
68,-5.0,0,-0.06964009090454187,0.15
69,75.0,0,0.0,0.45
70,0.0,0,0.0,0.0
71,0.0,0,0.0,0.0
72,-5.0,0,-0.06964009090454187,0.42
73,0.0,0,0.0,0.0
74,-40.0,1,-0.31650567987319056,1.04
75,0.0,0,0.0,0.0
76,0.0,0,0.0,0.0
77,0.0,0,0.0,0.0
78,-5.0,0,-0.06964009090454187,0.25
79,0.0,0,0.0,0.0
80,0.0,0,0.0,0.0
81,-20.0,0,-0.15825283993659528,0.08
82,-5.0,0,-0.06964009090454187,0.11
83,0.0,0,0.0,0.0
84,0.0,0,0.0,0.0
85,0.0,0,0.0,0.0
86,-5.0,0,-0.06964009090454187,0.07
87,0.0,0,0.0,0.0
88,0.0,0,0.0,0.0
89,-15.0,0,-0.20892027271362562,0.92
90,75.0,0,0.0,0.72
91,-10.0,0,-0.13928018180908375,0.15
92,-5.0,0,-0.06964009090454187,0.07
93,0.0,0,0.0,0.0
94,-5.0,0,-0.06964009090454187,0.24
95,-5.0,0,-0.06964009090454187,0.43
96,0.0,0,0.0,0.0
97,-20.0,0,-0.15825283993659528,0.12
98,-10.0,0,-0.13928018180908375,0.31
99,135.0,0,0.0,2.97
100,0.0,0,0.0,0.0
101,270.0,0,0.0,8.43
102,-5.0,0,-0.06964009090454187,0.38
103,-5.0,0,-0.06964009090454187,0.48
104,-10.0,0,-0.13928018180908375,0.15
105,-80.0,2,-0.6330113597463811,2.08
106,0.0,0,0.0,0.0
107,0.0,0,0.0,0.0
108,-20.0,0,-0.15825283993659528,0.04
109,0.0,0,0.0,0.0
110,-40.0,1,-0.31650567987319056,1.36
111,0.0,0,0.0,0.0
112,-15.0,0,-0.20892027271362562,0.64
113,0.0,0,0.0,0.0
114,-5.0,0,-0.06964009090454187,0.22
115,-10.0,0,-0.13928018180908375,0.18
116,0.0,0,0.0,0.0
117,0.0,0,0.0,0.0
118,0.0,0,0.0,0.0
119,-10.0,0,-0.13928018180908375,0.76
120,0.0,0,0.0,0.0
121,60.0,0,0.0,0.87
122,-10.0,0,-0.13928018180908375,0.31
123,0.0,0,0.0,0.0
124,0.0,0,0.0,0.0
125,-40.0,0,-0.31650567987319056,1.04
126,-55.0,1,-0.5254259525868161,1.65
127,0.0,0,0.0,0.0
128,-45.0,1,-0.38614577077773243,0.61
129,-10.0,0,-0.13928018180908375,0.39
130,0.0,0,0.0,0.0
131,0.0,0,0.0,0.0
132,0.0,0,0.0,0.0
133,0.0,0,0.0,0.0
134,-5.0,0,-0.06964009090454187,0.42
135,0.0,0,0.0,0.0
136,0.0,0,0.0,0.0
137,75.0,0,0.0,0.9
138,-5.0,0,-0.06964009090454187,0.44
139,0.0,0,0.0,0.0
140,-155.0,3,-6.596711200031205,4.9375
141,0.0,0,0.0,0.0
142,0.0,0,0.0,0.0
143,0.0,0,0.0,0.0
144,-5.0,0,-0.06964009090454187,0.49
145,0.0,0,0.0,0.0
146,0.0,0,0.0,0.0
147,0.0,0,0.0,0.0
148,-15.0,0,-0.20892027271362562,1.19
149,-10.0,0,-0.13928018180908375,0.61
150,0.0,0,0.0,0.0
151,160.0,0,-0.06964009090454187,2.25
