risk_scale,agent,avg_pgf_neto,avg_pgf_bruto,avg_pgf_costo,avg_tripwire,avg_reward
0.5,control,-0.1772775342677977,-0.10163253426779764,0.075645,0.01,-3.21
0.5,simbiosis,-0.4266308248859489,-0.22683296774309167,0.19979785714285714,0.115,-23.040026010717995
0.5,dqn_control,-0.42279979997623124,-0.2198019428333741,0.20299785714285715,0.106,-5.971525000000001
0.5,tui,-0.2590154610028038,-0.15503546100280374,0.10397999999999999,0.037,-11.284618440112144
1.0,control,-0.1797475342677977,-0.10163253426779764,0.078115,0.01,-3.31
1.0,simbiosis,-0.4113435743767392,-0.22395711211932762,0.18738646225741154,0.107,-22.3052874228
1.0,dqn_control,-0.3908110583000032,-0.21480916744032474,0.17600189085967843,0.096,-6.7168
1.0,tui,-0.27499790392565615,-0.16375881301656522,0.11123909090909091,0.038,-11.841423890130402
1.5,control,-0.18221753426779766,-0.10163253426779764,0.080585,0.01,-3.41
1.5,simbiosis,-0.4543033134130694,-0.24064946160423106,0.21365385180883836,0.095,-23.091528022742388
1.5,dqn_control,-0.40789410049728186,-0.21295332224111713,0.1949407782561647,0.092,-8.985175
1.5,tui,-0.2563445618957309,-0.15433276456704337,0.10201179732868758,0.026,-11.110015969449636
2.0,control,-0.18939092967720278,-0.10543378682005992,0.08395714285714286,0.012,-3.66
2.0,simbiosis,-0.452948248646822,-0.2558824332025754,0.19706581544424656,0.099,-21.511476607377748
2.0,dqn_control,-0.3911333499141932,-0.2080899946750138,0.1830433552391794,0.063,-9.131075
2.0,tui,-0.26451445447462707,-0.15991117326435506,0.10460328121027206,0.023,-11.316795253485912
3.0,control,-0.18431866084374282,-0.10218510742237427,0.08213355342136855,0.009,-3.685
3.0,simbiosis,-0.4755198562780504,-0.24944950446742375,0.22607035181062657,0.097,-24.756755762329853
3.0,dqn_control,-0.4829896810046775,-0.2647771783201199,0.21821250268455758,0.092,-13.894575
3.0,tui,-0.27125737459860777,-0.16286027965523614,0.10839709494337163,0.031,-11.743185225362723
