Episodio,Recompensa_dqn_control,Tripwires_dqn_control,PGF_Bruto_Avg,PGF_Costo_Avg
1,-25.0,0,-0.6964009090454186,0.81
2,0.0,0,0.0,0.0
3,-10.0,0,-0.2785603636181675,0.125
4,-5.0,0,-0.13928018180908375,0.05
5,0.0,0,0.0,0.0
6,-10.0,0,-0.2785603636181675,0.02
7,-21.75,0,0.0,0.99
8,-5.0,0,-0.13928018180908375,0.095
9,0.0,0,0.0,0.0
10,-15.0,0,-0.41784054542725124,0.305
11,-10.0,0,-0.2785603636181675,0.35
12,0.0,0,0.0,0.0
13,-31.2,0,0.0,1.17
14,0.0,0,0.0,0.0
15,0.0,0,0.0,0.0
16,0.0,0,0.0,0.0
17,-10.0,0,-0.2785603636181675,0.065
18,0.0,0,0.0,0.0
19,-51.525000000000006,0,0.0,2.52
20,-15.0,0,-0.41784054542725124,0.085
21,-5.0,0,-0.13928018180908375,0.09
22,15.0,0,0.0,0.015
23,15.0,0,0.0,0.015
24,0.0,0,0.0,0.0
25,0.0,0,0.0,0.0
26,0.0,0,0.0,0.0
27,0.0,0,0.0,0.0
28,0.0,0,0.0,0.0
29,0.0,0,0.0,0.0
30,-35.0,0,-0.9749612726635862,0.625
31,0.0,0,0.0,0.0
32,0.0,0,0.0,0.0
33,-5.0,0,-0.13928018180908375,0.07
34,0.0,0,0.0,0.0
35,0.0,0,0.0,0.0
36,0.0,0,0.0,0.0
37,0.0,0,0.0,0.0
38,-12.524999999999999,0,0.0,1.665
39,0.0,0,0.0,0.0
40,0.0,0,0.0,0.0
41,0.0,0,0.0,0.0
42,0.0,0,0.0,0.0
43,0.0,0,0.0,0.0
44,0.0,0,0.0,0.0
45,0.0,0,0.0,0.0
46,-5.0,0,-0.13928018180908375,0.23
47,0.0,0,0.0,0.0
48,-50.0,0,-1.3928018180908373,1.435
49,-15.0,0,-0.41784054542725124,0.55
50,-5.0,0,-0.13928018180908375,0.17
51,-5.0,0,-0.13928018180908375,0.195
52,-5.0,0,-0.13928018180908375,0.03
53,-5.0,0,-0.13928018180908375,0.175
54,-5.0,0,-0.13928018180908375,0.11
55,-5.0,0,-0.13928018180908375,0.14
56,0.0,0,0.0,0.0
57,0.0,0,0.0,0.0
58,0.0,0,0.0,0.0
59,0.0,0,0.0,0.0
60,0.0,0,0.0,0.0
61,0.0,0,0.0,0.0
62,0.0,0,0.0,0.0
63,5.25,0,0.0,0.54
64,0.0,0,0.0,0.0
65,0.0,0,0.0,0.0
66,0.0,0,0.0,0.0
67,0.0,0,0.0,0.0
68,0.0,0,0.0,0.0
69,-5.0,0,-0.13928018180908375,0.12
70,0.0,0,0.0,0.0
71,0.0,0,0.0,0.0
72,-10.0,0,-0.6330113597463811,0.07
73,0.0,0,0.0,0.0
74,0.0,0,0.0,0.0
75,-20.0,2,-1.2660227194927622,0.04
76,0.0,0,0.0,0.0
77,-5.0,0,-0.13928018180908375,0.245
78,-5.0,0,-0.13928018180908375,0.185
79,0.0,0,0.0,0.0
80,0.0,0,0.0,0.0
81,-35.0,0,-0.9749612726635862,1.33
82,-5.0,0,-0.13928018180908375,0.045
83,-20.0,0,-0.557120727236335,0.33
84,-10.0,1,-0.6330113597463811,0.15
85,-20.0,1,-0.9115717233645486,0.465
86,0.0,0,0.0,0.0
87,0.0,0,0.0,0.0
88,0.0,0,0.0,0.0
89,0.0,0,0.0,0.0
90,-10.0,0,-0.6330113597463811,0.145
91,0.0,0,0.0,0.0
92,-10.0,0,-0.2785603636181675,0.015
93,-5.0,0,-0.13928018180908375,0.24
94,0.0,0,0.0,0.0
95,0.0,0,0.0,0.0
96,-10.0,0,-0.6330113597463811,0.16
97,0.0,0,0.0,0.0
98,0.0,0,0.0,0.0
99,0.0,0,0.0,0.0
100,0.0,0,0.0,0.0
101,0.0,0,0.0,0.0
102,0.0,0,0.0,0.0
103,-20.0,0,-0.557120727236335,0.375
104,0.0,0,0.0,0.0
105,0.0,0,0.0,0.0
106,0.0,0,0.0,0.0
107,0.0,0,0.0,0.0
108,0.0,0,0.0,0.0
109,0.0,0,0.0,0.0
110,-70.0,7,-4.431079518224667,1.68
111,0.0,0,0.0,0.0
112,-10.0,0,-0.2785603636181675,0.16
113,0.0,0,0.0,0.0
114,-5.0,0,-0.13928018180908375,0.19
115,0.0,0,0.0,0.0
116,-10.0,1,-0.6330113597463811,0.01
117,-10.0,0,-0.2785603636181675,0.12
118,0.0,0,0.0,0.0
119,0.0,0,0.0,0.0
120,0.0,0,0.0,0.0
121,0.0,0,0.0,0.0
122,0.0,0,0.0,0.0
123,0.0,0,0.0,0.0
124,-15.0,0,-0.41784054542725124,0.445
125,0.0,0,0.0,0.0
126,-55.0,0,-1.5320819998999213,1.54
127,0.0,0,0.0,0.0
128,-5.0,0,-0.13928018180908375,0.19
129,0.0,0,0.0,0.0
130,0.0,0,0.0,0.0
131,0.0,0,0.0,0.0
132,-65.0,0,-0.13928018180908375,2.105
133,-5.0,0,-0.13928018180908375,0.165
134,-10.0,1,-0.6330113597463811,0.02
135,0.0,0,0.0,0.0
136,-5.0,0,-0.31650567987319056,0.075
137,-10.0,1,-0.6330113597463811,0.08
138,0.0,0,0.0,0.0
139,-10.0,0,-0.6330113597463811,0.14
140,0.0,0,0.0,0.0
141,-25.0,0,-0.6964009090454186,0.25
142,0.0,0,0.0,0.0
143,0.0,0,0.0,0.0
144,-40.0,1,-1.4686924506008836,0.975
145,0.0,0,0.0,0.0
146,-10.0,0,-0.2785603636181675,0.325
147,-15.0,0,-0.41784054542725124,0.15
148,0.0,0,0.0,0.0
149,-5.0,0,-0.13928018180908375,0.07
150,-10.0,0,-0.2785603636181675,0.315
151,0.0,0,0.0,0.0
152,0.0,0,0.0,0.0
153,0.0,0,0.0,0.0
154,0.0,0,0.0,0.0
155,0.0,0,0.0,0.0
156,-120.0,9,-9.450462381714619,1.1640625
157,0.0,0,0.0,0.0
158,52.35,0,0.0,0.27
159,0.0,0,0.0,0.0
160,-5.0,0,-0.13928018180908375,0.085
161,-20.0,0,-0.557120727236335,0.51
162,-12.524999999999999,0,0.0,0.825
163,0.0,0,0.0,0.0
164,0.0,0,0.0,0.0
165,0.0,0,0.0,0.0
166,0.0,0,0.0,0.0
167,0.0,0,0.0,0.0
