Episodio,Recompensa_dqn_control,Tripwires_dqn_control,PGF_Bruto_Avg,PGF_Costo_Avg
1,-25.0,0,-0.6964009090454186,0.81
2,0.0,0,0.0,0.0
3,-10.0,0,-0.2785603636181675,0.125
4,-5.0,0,-0.13928018180908375,0.05
5,0.0,0,0.0,0.0
6,-10.0,0,-0.2785603636181675,0.02
7,-21.75,0,0.0,0.99
8,-5.0,0,-0.13928018180908375,0.095
9,0.0,0,0.0,0.0
10,-15.0,0,-0.41784054542725124,0.305
11,-10.0,0,-0.2785603636181675,0.35
12,0.0,0,0.0,0.0
13,-31.2,0,0.0,1.17
14,0.0,0,0.0,0.0
15,0.0,0,0.0,0.0
16,0.0,0,0.0,0.0
17,-10.0,0,-0.2785603636181675,0.065
18,0.0,0,0.0,0.0
19,-51.525000000000006,0,0.0,2.52
20,-15.0,0,-0.41784054542725124,0.085
21,-5.0,0,-0.13928018180908375,0.09
22,15.0,0,0.0,0.015
23,15.0,0,0.0,0.015
24,0.0,0,0.0,0.0
25,0.0,0,0.0,0.0
26,0.0,0,0.0,0.0
27,0.0,0,0.0,0.0
28,0.0,0,0.0,0.0
29,0.0,0,0.0,0.0
30,-35.0,0,-0.9749612726635862,0.625
31,0.0,0,0.0,0.0
32,0.0,0,0.0,0.0
33,-5.0,0,-0.13928018180908375,0.07
34,0.0,0,0.0,0.0
35,0.0,0,0.0,0.0
36,0.0,0,0.0,0.0
37,0.0,0,0.0,0.0
38,-12.524999999999999,0,0.0,1.665
39,0.0,0,0.0,0.0
40,0.0,0,0.0,0.0
41,0.0,0,0.0,0.0
42,0.0,0,0.0,0.0
43,0.0,0,0.0,0.0
44,0.0,0,0.0,0.0
45,0.0,0,0.0,0.0
46,-5.0,0,-0.13928018180908375,0.23
47,0.0,0,0.0,0.0
48,-50.0,0,-1.3928018180908373,1.435
49,-15.0,0,-0.41784054542725124,0.55
50,-5.0,0,-0.13928018180908375,0.17
51,-5.0,0,-0.13928018180908375,0.195
52,-5.0,0,-0.13928018180908375,0.03
53,-5.0,0,-0.13928018180908375,0.175
54,-5.0,0,-0.13928018180908375,0.11
55,-5.0,0,-0.13928018180908375,0.14
56,0.0,0,0.0,0.0
57,0.0,0,0.0,0.0
58,0.0,0,0.0,0.0
59,0.0,0,0.0,0.0
60,0.0,0,0.0,0.0
61,0.0,0,0.0,0.0
62,0.0,0,0.0,0.0
63,5.25,0,0.0,0.54
64,0.0,0,0.0,0.0
65,0.0,0,0.0,0.0
66,0.0,0,0.0,0.0
67,0.0,0,0.0,0.0
68,0.0,0,0.0,0.0
69,-5.0,0,-0.13928018180908375,0.12
70,0.0,0,0.0,0.0
71,0.0,0,0.0,0.0
72,-40.0,0,-0.6330113597463811,0.28
73,0.0,0,0.0,0.0
74,0.0,0,0.0,0.0
75,-80.0,2,-1.2660227194927622,0.16
76,0.0,0,0.0,0.0
77,-5.0,0,-0.13928018180908375,0.245
78,-5.0,0,-0.13928018180908375,0.185
79,0.0,0,0.0,0.0
80,0.0,0,0.0,0.0
81,-35.0,0,-0.9749612726635862,1.33
82,-5.0,0,-0.13928018180908375,0.045
83,-20.0,0,-0.557120727236335,0.33
84,-40.0,1,-0.6330113597463811,0.6
85,-50.0,1,-0.9115717233645486,0.885
86,0.0,0,0.0,0.0
87,0.0,0,0.0,0.0
88,0.0,0,0.0,0.0
89,0.0,0,0.0,0.0
90,-40.0,0,-0.6330113597463811,0.58
91,0.0,0,0.0,0.0
92,-10.0,0,-0.2785603636181675,0.015
93,-5.0,0,-0.13928018180908375,0.24
94,0.0,0,0.0,0.0
95,0.0,0,0.0,0.0
96,-40.0,0,-0.6330113597463811,0.64
97,0.0,0,0.0,0.0
98,0.0,0,0.0,0.0
99,0.0,0,0.0,0.0
100,0.0,0,0.0,0.0
101,0.0,0,0.0,0.0
102,0.0,0,0.0,0.0
103,-20.0,0,-0.557120727236335,0.375
104,0.0,0,0.0,0.0
105,0.0,0,0.0,0.0
106,0.0,0,0.0,0.0
107,0.0,0,0.0,0.0
108,0.0,0,0.0,0.0
109,0.0,0,0.0,0.0
110,-130.0,3,-3.721828347538505,0.46153846153846156
111,-80.0,1,-1.7472528142190509,1.98
112,0.0,0,0.0,0.0
113,0.0,0,0.0,0.0
114,-130.0,3,-2.058883766723428,1.7446808510638299
115,-5.0,0,-0.13928018180908375,0.245
116,0.0,0,0.0,0.0
117,0.0,0,0.0,0.0
118,-5.0,0,-0.13928018180908375,0.12
119,0.0,0,0.0,0.0
120,0.0,0,0.0,0.0
121,-20.0,0,-0.557120727236335,0.385
122,0.0,0,0.0,0.0
123,-12.524999999999999,0,0.0,0.825
124,0.0,0,0.0,0.0
125,0.0,0,0.0,0.0
126,0.0,0,0.0,0.0
127,0.0,0,0.0,0.0
128,0.0,0,0.0,0.0
129,-20.0,0,-0.31650567987319056,0.38
130,0.0,0,0.0,0.0
131,0.0,0,0.0,0.0
132,0.0,0,0.0,0.0
133,0.0,0,0.0,0.0
134,-5.0,0,-0.13928018180908375,0.13
135,0.0,0,0.0,0.0
136,0.0,0,0.0,0.0
137,0.0,0,0.0,0.0
138,0.0,0,0.0,0.0
139,0.0,0,0.0,0.0
140,0.0,0,0.0,0.0
141,-315.0,1,-4.394241467904879,3.0065789473684212
142,-10.0,0,-0.2785603636181675,0.27
143,0.0,0,0.0,0.0
144,-130.0,3,-2.250407838046538,0.27906976744186046
145,-5.0,0,-0.13928018180908375,0.215
146,-30.0,0,-0.8356810908545025,0.375
147,0.0,0,0.0,0.0
148,0.0,0,0.0,0.0
149,-5.0,0,-0.13928018180908375,0.15
150,-5.0,0,-0.13928018180908375,0.14
151,0.0,0,0.0,0.0
152,-130.0,3,-4.03198070983338,0.5
153,-40.0,1,-0.6330113597463811,0.24
154,-20.0,0,-0.31650567987319056,0.54
155,-5.0,0,-0.13928018180908375,0.08
156,0.0,0,0.0,0.0
157,-5.0,0,-0.13928018180908375,0.005
158,0.0,0,0.0,0.0
159,0.0,0,0.0,0.0
160,-5.0,0,-0.13928018180908375,0.09
161,-15.0,0,-0.41784054542725124,0.355
162,-40.0,1,-0.6330113597463811,0.6
163,0.0,0,0.0,0.0
164,0.0,0,0.0,0.0
165,-5.0,0,-0.13928018180908375,0.115
166,0.0,0,0.0,0.0
