risk_scale,risk_level,red_team,seed,agent,episodes,steps_per_episode,eval_episodes,total_timesteps,avg_pgf_neto,avg_pgf_bruto,avg_pgf_costo,avg_tripwire,avg_reward,robustez,flexibilidad
1.5,default,False,42.0,a2c_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
1.5,default,False,123.0,a2c_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
1.5,default,False,456.0,a2c_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
2.0,default,False,42.0,a2c_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
2.0,default,False,123.0,a2c_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
2.0,default,False,456.0,a2c_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
3.0,default,False,42.0,a2c_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
3.0,default,False,123.0,a2c_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
3.0,default,False,456.0,a2c_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
0.5,default,False,123.0,a2c_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
1.0,default,False,123.0,a2c_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
1.5,default,False,123.0,a2c_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
2.0,default,False,123.0,a2c_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
3.0,default,False,123.0,a2c_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
0.5,default,False,42.0,a2c_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
1.0,default,False,42.0,a2c_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
1.5,default,False,42.0,a2c_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
2.0,default,False,42.0,a2c_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
3.0,default,False,42.0,a2c_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
0.5,default,False,456.0,a2c_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
1.0,default,False,456.0,a2c_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
1.5,default,False,456.0,a2c_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
2.0,default,False,456.0,a2c_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
3.0,default,False,456.0,a2c_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
0.5,default,False,42.0,dqn_sota,1000.0,50.0,1000.0,50000.0,-0.1582528399365952,-0.1582528399365952,0.0,0.0,640.0,,
0.5,default,False,123.0,dqn_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
0.5,default,False,456.0,dqn_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
1.0,default,False,42.0,dqn_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
1.0,default,False,123.0,dqn_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
1.0,default,False,456.0,dqn_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
1.5,default,False,42.0,dqn_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
1.5,default,False,123.0,dqn_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
1.5,default,False,456.0,dqn_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
2.0,default,False,42.0,dqn_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
2.0,default,False,123.0,dqn_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
2.0,default,False,456.0,dqn_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
3.0,default,False,42.0,dqn_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
3.0,default,False,123.0,dqn_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
3.0,default,False,456.0,dqn_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
0.5,default,False,123.0,dqn_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
1.0,default,False,123.0,dqn_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
1.5,default,False,123.0,dqn_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
2.0,default,False,123.0,dqn_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
3.0,default,False,123.0,dqn_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
0.5,default,False,42.0,dqn_sota,1000.0,50.0,1000.0,50000.0,-0.1582528399365952,-0.1582528399365952,0.0,0.0,640.0,,
1.0,default,False,42.0,dqn_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
1.5,default,False,42.0,dqn_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
2.0,default,False,42.0,dqn_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
3.0,default,False,42.0,dqn_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
0.5,default,False,456.0,dqn_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
1.0,default,False,456.0,dqn_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
1.5,default,False,456.0,dqn_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
2.0,default,False,456.0,dqn_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
3.0,default,False,456.0,dqn_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
0.5,default,False,42.0,ppo_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,645.0,,
0.5,default,False,123.0,ppo_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,645.0,,
0.5,default,False,456.0,ppo_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,645.0,,
1.0,default,False,42.0,ppo_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
1.0,default,False,123.0,ppo_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
1.0,default,False,456.0,ppo_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
1.5,default,False,42.0,ppo_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
1.5,default,False,123.0,ppo_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
1.5,default,False,456.0,ppo_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
2.0,default,False,42.0,ppo_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
2.0,default,False,123.0,ppo_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
2.0,default,False,456.0,ppo_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
3.0,default,False,42.0,ppo_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
3.0,default,False,123.0,ppo_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
3.0,default,False,456.0,ppo_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
0.5,default,False,123.0,ppo_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,645.0,,
1.0,default,False,123.0,ppo_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
1.5,default,False,123.0,ppo_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
2.0,default,False,123.0,ppo_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
3.0,default,False,123.0,ppo_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
0.5,default,False,42.0,ppo_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,645.0,,
1.0,default,False,42.0,ppo_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
1.5,default,False,42.0,ppo_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
2.0,default,False,42.0,ppo_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
3.0,default,False,42.0,ppo_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
0.5,default,False,456.0,ppo_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,645.0,,
1.0,default,False,456.0,ppo_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
1.5,default,False,456.0,ppo_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
2.0,default,False,456.0,ppo_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
3.0,default,False,456.0,ppo_sota,1000.0,50.0,1000.0,50000.0,0.0,0.0,0.0,0.0,0.0,,
